INFO: setting up PCIe 0
INFO: loading mbench.bin...
INFO: done
662	5334	523594	197358	1405174	321250	2381369	462628	786665	50678
583	3579	351321	132423	955139	219161	1757772	349637	636125	50599
421	1446	142068	53502	399746	93368	1018879	201488	498826	50437
358	959	94352	35483	270070	63971	852113	163397	479754	50374
270	501	49367	18537	144294	35577	689672	122859	468246	50286
130	167	16494	6179	50396	12899	555085	80861	467494	50146
107	129	12759	4773	39598	10135	538760	74923	468542	50123
44	50	4943	1850	16099	3994	501150	60088	472409	50060
18	20	1976	740	6612	1608	485739	54114	473890	50034
10	10	989	370	3431	830	480792	52232	474440	50026
7	7	692	259	2434	581	478864	51569	474359	50023
